;data_aplicacao_vacina;TOTAL_DOSES;1DOSE;2DOSE;DOSE_UNI;DOSE_ADC;PFIZER;ASTRAZENECA_FIOCRUZ;SINOVAC_BUTANTAN;JANSSEN;FEMININO;MASCULINO;BRANCA;PRETA;PARDA;AMARELA;SEM INFORMACAO;menos 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;mais 80 anos
0;1993-11-08;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
1;2021-01-17;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0
2;2021-01-18;5;4;1;0;0;0;0;5;0;4;1;2;0;0;0;3;0;4;1;0;0
3;2021-01-19;329;329;0;0;0;0;0;329;0;204;125;227;14;11;4;73;1;164;103;41;20
4;2021-01-20;1029;1029;0;0;0;1;0;1028;0;695;334;645;42;29;21;291;3;593;382;44;7
5;2021-01-21;960;960;0;0;0;0;0;960;0;635;325;599;34;37;14;275;5;406;351;89;109
6;2021-01-22;634;634;0;0;0;0;0;634;0;407;227;377;19;23;17;198;2;255;214;82;81
7;2021-01-23;233;233;0;0;0;0;0;233;0;185;48;144;12;9;7;61;3;57;38;57;78
8;2021-01-24;50;50;0;0;0;0;0;50;0;32;18;35;3;0;2;10;1;14;14;14;7
9;2021-01-25;196;195;1;0;0;0;4;192;0;120;76;113;6;3;1;72;1;100;63;20;12
10;2021-01-26;288;288;0;0;0;0;6;282;0;187;101;163;8;12;5;100;0;152;107;19;10
11;2021-01-27;223;223;0;0;0;0;45;178;0;156;67;125;3;10;7;77;0;110;76;21;16
12;2021-01-28;658;657;1;0;0;0;344;314;0;445;213;404;23;22;15;193;3;331;251;37;36
13;2021-01-29;698;697;1;0;0;0;498;200;0;501;197;420;22;22;27;207;2;295;266;69;66
14;2021-01-30;22;22;0;0;0;0;7;15;0;14;8;10;0;0;1;11;0;19;2;1;0
15;2021-01-31;6;6;0;0;0;0;4;2;0;5;1;2;1;0;1;2;0;3;2;1;0
16;2021-02-01;1090;1090;0;0;0;0;1035;55;0;836;254;798;61;42;17;170;4;480;527;48;31
17;2021-02-02;273;270;3;0;0;0;208;65;0;155;118;144;7;4;9;107;0;129;113;20;11
18;2021-02-03;614;610;4;0;0;0;368;246;0;463;151;366;22;21;15;189;4;289;265;36;20
19;2021-02-04;509;508;1;0;0;0;286;223;0;377;132;300;26;21;16;144;5;256;213;29;6
20;2021-02-05;450;441;9;0;0;0;274;176;0;331;119;273;23;21;6;127;4;186;206;39;15
21;2021-02-06;38;38;0;0;0;0;21;17;0;29;9;23;0;0;1;14;0;21;12;3;2
22;2021-02-07;10;10;0;0;0;0;6;4;0;6;4;8;0;0;0;2;0;4;3;2;1
23;2021-02-08;179;166;13;0;0;0;66;113;0;117;62;98;7;7;2;65;2;89;60;15;13
24;2021-02-09;226;220;6;0;0;0;89;137;0;156;70;130;11;9;6;70;1;103;86;16;20
25;2021-02-10;894;497;397;0;0;0;44;850;0;628;266;536;27;25;14;292;6;314;293;38;243
26;2021-02-11;1688;766;922;0;0;1;30;1657;0;1175;513;1064;61;49;25;488;6;564;476;112;530
27;2021-02-12;1204;747;457;0;0;0;46;1158;0;844;360;763;30;21;19;370;0;317;232;65;590
28;2021-02-13;525;509;15;0;1;0;5;520;0;358;167;361;8;13;6;137;1;147;83;19;275
29;2021-02-14;19;9;10;0;0;0;3;16;0;12;7;10;1;0;1;7;0;8;7;1;3
30;2021-02-15;482;244;238;0;0;0;90;392;0;320;162;268;11;17;8;178;1;223;98;43;117
31;2021-02-16;443;199;244;0;0;0;94;349;0;317;126;266;16;8;11;142;1;174;119;34;115
32;2021-02-17;1435;931;504;0;0;0;45;1390;0;1019;416;842;31;32;26;503;0;613;532;131;159
33;2021-02-18;1100;710;390;0;0;0;61;1039;0;765;335;638;23;32;17;390;3;502;409;99;87
34;2021-02-19;496;236;260;0;0;0;78;418;0;310;186;293;12;14;11;166;1;226;166;23;80
35;2021-02-20;31;18;13;0;0;0;2;29;0;19;12;24;0;0;2;5;0;11;2;6;12
36;2021-02-21;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0
37;2021-02-22;248;78;170;0;0;0;19;229;0;155;93;154;4;9;5;75;0;129;78;21;20
38;2021-02-23;149;68;81;0;0;0;18;131;0;94;55;83;2;6;2;56;0;79;39;12;19
39;2021-02-24;360;64;296;0;0;0;17;343;0;239;121;220;13;14;4;108;2;189;128;25;16
40;2021-02-25;292;88;204;0;0;0;20;272;0;199;93;161;8;8;8;105;3;126;92;19;52
41;2021-02-26;2709;2580;129;0;0;0;73;2636;0;1764;945;1674;57;29;13;936;4;213;229;42;2221
42;2021-02-27;1926;1904;22;0;0;0;101;1825;0;1291;635;1148;41;28;23;684;2;69;44;17;1794
43;2021-02-28;36;33;3;0;0;0;21;15;0;24;12;18;0;0;0;18;0;0;3;0;33
44;2021-03-01;278;221;57;0;0;0;100;178;0;167;111;158;8;8;2;101;1;68;58;52;99
45;2021-03-02;537;426;111;0;0;0;108;429;0;318;219;287;15;12;9;212;1;102;81;220;133
46;2021-03-03;638;460;178;0;0;0;137;501;0;420;218;376;22;17;8;215;0;136;86;148;268
47;2021-03-04;950;450;500;0;0;0;104;846;0;646;304;582;21;17;12;317;3;216;191;118;422
48;2021-03-05;4734;4170;564;0;0;0;70;4664;0;2987;1747;2896;99;52;36;1651;1;167;158;147;4261
49;2021-03-06;3678;3391;287;0;0;0;12;3666;0;2214;1464;2241;55;51;33;1297;3;180;120;109;3266
50;2021-03-07;13;12;1;0;0;0;3;10;0;11;2;7;0;0;1;5;0;1;0;8;4
51;2021-03-08;595;264;331;0;0;1;21;573;0;410;185;389;23;21;8;154;2;79;85;96;333
52;2021-03-09;718;269;449;0;0;0;32;686;0;503;215;449;20;15;6;228;0;138;165;103;312
53;2021-03-10;1055;204;851;0;0;0;37;1018;0;759;296;626;22;20;18;369;0;268;270;124;393
54;2021-03-11;849;186;663;0;0;0;19;830;0;636;213;506;18;18;12;295;1;264;208;114;262
55;2021-03-12;1806;1580;226;0;0;0;30;1776;0;1099;707;1137;35;25;16;592;2;147;109;1263;285
56;2021-03-13;1342;1319;23;0;0;0;6;1336;0;796;546;796;31;19;16;480;0;22;14;1210;96
